reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
8ea2ac8b-784e-454e-b1c5-c1981a6a9872,Fitri Rahmawati,https://play-lh.googleusercontent.com/a-/ALV-UjWQHF0jShFZKh_cmfDBB4yq1O1A6_iYVbwggIdKOCdj7l_VdrzD,Buku digital dari SD sampai jenjang Kuliah pun ada disini. Enak banget jadi bisa dibawa kemana manaa. Simpel kalo mau baca tinggal buka hp aja,5,0,1.0.4,2023-01-14 17:33:37,,,1.0.4
0f755104-2b19-4259-a8d7-5d2d3b9e1c21,Pandu Jaya,https://play-lh.googleusercontent.com/a/ACg8ocKgOWtNDI7V3xVrWtanJBWIuGE_ooD3R3Y9c9M_ELkR7V7uhw=mo,Terbantu adanya apk ini aku yang mager nyatat tinggal buka apk ini aja karna semua mapel dari sd sampe Sma ada semua,5,0,,2023-01-26 20:25:44,,,
ecebf96e-9d0d-44f2-868b-90421acd8e84,Andi Mappintjara,https://play-lh.googleusercontent.com/a-/ALV-UjU7_qcf0MsqM4Cvf4U4rTGXPyDQbtXKjUfdBgbbKcbhoJV0_acl,Smoga lebih berkembang dan manfaatnya menyeluruh,5,0,1.0.11,2023-09-18 13:06:16,,,1.0.11
2d125e5d-76fb-4179-b821-b1c09a09e398,Buat Belajar,https://play-lh.googleusercontent.com/a/ACg8ocJYbI4U3mYDrYKU6tod1bFdq1IMMnkTkNUBWNGu-vyn2C0MPQ=mo,Apaan ga bisa dipake aplikasinya,1,0,1.0.4,2023-01-25 15:38:35,,,1.0.4
687a97c5-d4ca-4dfd-9217-b3d054b1310c,AHMAD TAUFIK,https://play-lh.googleusercontent.com/a-/ALV-UjU2uFLXpf16RGAMvPtZJHfB350oQ2XQigtY5a5-ScvU2byOutOg,Login Mulu tiap kali mau masuk,1,0,1.0.14,2023-12-26 10:22:40,,,1.0.14
2df597da-95b9-4754-8d6a-231628b561ef,Ega Scooby,https://play-lh.googleusercontent.com/a-/ALV-UjXtzC0I1gcBj6BfMif0Wf5Dan_PL0fynCX0vOPtyjTQCc3SyrKz,Email belum terverifikasi gimanaa neee dah 3 hari padahal nungguin nya,1,0,1.0.9,2023-05-22 20:43:09,,,1.0.9
dbb6a454-f82d-4a1c-88b9-f0e34cba3cf3,Pulepen Z,https://play-lh.googleusercontent.com/a/ACg8ocKq9n2exGpc0-c9fZrrXi7FwoD8aqeafTuqhfrSyQdwbjD2Fg=mo,"Saya sudah mendaftar tapi belum terverifikasi, bagaimana penyelesaiannya?",1,0,1.0.4,2023-02-04 11:05:19,,,1.0.4
22d8f8fc-840e-45c1-9628-317ba24f571d,PROJECK PERPUSTAKAAN,https://play-lh.googleusercontent.com/a-/ALV-UjXkpVA5-7SausjORTbGCyLZ20UqW6xIV_9SdEdTctsXv0Jvtjk5,mantap aplikasinya bisa membantu kami,5,5,,2022-12-31 18:53:27,,,
e61db354-6816-4a75-862a-ada252d35970,Imam Jamaludin,https://play-lh.googleusercontent.com/a/ACg8ocKuHZ08fCy6l2gnlissIjJy1bvli9LHJ1QI9GnIq-4ve5LeGw=mo,tidak bisa offline,2,0,1.0.6,2023-04-05 17:14:07,,,1.0.6
951c0f6f-974f-4dc8-8896-69fff97cd025,Triasi 96,https://play-lh.googleusercontent.com/a-/ALV-UjVcgezfi8Np7M-S2-IRUZdjPvtk7qSq4xWdndIyZ6uVvzkQdvM,Mau baca tapi filed terus,1,0,1.0.11,2023-11-03 11:23:45,,,1.0.11
